2022-01-28 22:15:53.990011|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-01-28 22:15:53.990205|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 Binary: 64bit
2022-01-28 22:15:53.990238|INFO    |ServerLibPriv |   |Using hardware aes
2022-01-28 22:15:53.991234|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-01-28 22:15:53.991275|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-01-28 22:15:53.991753|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-01-28 22:15:54.002857|INFO    |SQL           |   |db_CreateTables() tables created
2022-01-28 22:15:54.037253|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-01-28 22:15:54.037781|INFO    |Accounting    |   |Licensing Information
2022-01-28 22:15:54.037810|INFO    |Accounting    |   |licensed to       : Anonymous
2022-01-28 22:15:54.037822|INFO    |Accounting    |   |type              : No License
2022-01-28 22:15:54.037839|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-01-28 22:15:54.037850|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-01-28 22:15:54.037859|INFO    |Accounting    |   |max virtualservers: 1
2022-01-28 22:15:54.037868|INFO    |Accounting    |   |max slots         : 32
2022-01-28 22:15:54.847195|INFO    |              |   |Puzzle precompute time: 788
2022-01-28 22:15:54.847861|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-01-28 22:15:54.848582|INFO    |VirtualSvrMgr |   |executing monthly interval
2022-01-28 22:15:54.848722|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2022-01-28 22:15:54.884946|INFO    |Query         |   |Using a query thread pool size of 2
2022-01-28 22:15:54.902348|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-01-28 22:15:54.902586|INFO    |              |   |creating QUERY_SSH_RSA_HOST_KEY file: ssh_host_rsa_key
2022-01-28 22:15:55.322272|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-28 22:15:56.287767|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2022-01-28 22:15:56.287883|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2022-01-28 22:15:56.288079|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-01-29 04:30:51.214692|INFO    |Query         |   |query from 2 180.141.174.173:64117 attempted to login with account "root" and failed!
2022-01-29 04:30:51.406542|INFO    |Query         |   |query from 2 180.141.174.173:64117 attempted to login with account "root" and failed!
2022-01-29 04:30:51.596569|INFO    |Query         |   |query from 2 180.141.174.173:64117 attempted to login with account "root" and failed!
2022-01-29 22:15:55.735591|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-30 22:15:55.941879|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-31 22:15:56.238422|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-01 00:00:54.043062|INFO    |VirtualSvrMgr |   |executing monthly interval
2022-02-01 00:00:54.082636|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2022-02-01 22:15:56.536033|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-02 22:15:56.864694|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-03 22:15:56.906027|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-04 22:15:57.129364|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-05 22:15:57.366849|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-06 20:32:00.201307|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:32:00.202203|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:32:02.009949|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:32:02.010034|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:32:04.064238|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:32:04.064296|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:42:00.234260|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:42:00.234475|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:42:02.038171|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:42:02.038228|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:42:04.075761|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:42:04.075832|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:52:00.299131|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:52:00.299317|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:52:02.003274|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:52:02.003332|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 20:52:04.007760|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 20:52:04.007818|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:02:00.334968|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:02:00.335160|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:02:02.040052|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:02:02.040117|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:02:04.044027|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:02:04.044095|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:12:00.377317|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:12:00.377528|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:12:02.094713|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:12:02.094792|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:12:04.101092|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:12:04.101165|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:22:00.416777|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:22:00.416972|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:22:02.023587|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:22:02.023648|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:22:04.060221|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:22:04.060281|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:32:00.501687|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:32:00.511123|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:32:02.024815|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:32:02.024864|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:32:04.076171|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:32:04.076261|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:42:00.591165|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:42:00.591493|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:42:02.095204|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:42:02.095270|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:42:04.101856|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:42:04.101931|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:52:00.642665|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:52:00.642865|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:52:02.047267|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:52:02.047338|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 21:52:04.058002|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 21:52:04.058099|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 22:02:00.562894|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 22:02:00.563136|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 22:02:02.067130|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 22:02:02.067200|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 22:02:04.120234|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 22:02:04.120337|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 22:12:00.603242|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-06 22:12:00.603523|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-06 22:12:02.007629|ERROR   |              |   |TS3ANetwork::Send failed error: 1
