2022-03-03 01:32:54.738788|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:32:56.042366|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:32:56.042472|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:32:58.046820|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:32:58.046905|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:42:54.747992|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:42:54.748216|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:42:56.051873|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:42:56.051978|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:42:58.061230|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:42:58.061332|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:52:54.815620|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:52:54.815846|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:52:56.019754|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:52:56.019852|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 01:52:58.024294|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 01:52:58.024423|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:02:54.923388|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:02:54.923591|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:02:56.027226|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:02:56.027305|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:02:58.032523|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:02:58.032601|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:12:54.881398|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:12:54.881573|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:12:56.085437|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:12:56.085571|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:12:58.093245|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:12:58.093318|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:22:54.914515|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:22:54.914731|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:22:56.020542|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:22:56.020632|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:22:58.031547|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:22:58.031617|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:32:55.010999|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:32:55.011202|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:32:57.015299|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:32:57.015410|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:32:59.022057|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:32:59.022123|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:42:54.971814|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:42:54.972042|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:42:56.075339|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:42:56.075430|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:42:58.079664|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:42:58.079732|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:52:55.114787|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:52:55.115012|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:52:57.020396|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:52:57.020481|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 02:52:59.024583|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 02:52:59.024671|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:02:55.036181|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:02:55.036416|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:02:57.040519|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:02:57.040585|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:02:59.078670|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:02:59.078737|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:12:55.118851|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:12:55.119071|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:12:57.025077|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:12:57.025147|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:12:59.039845|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:12:59.040015|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:22:55.143631|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:22:55.143894|ERROR   |              |   |TS3ANetwork::Send failed error: 111
