2022-03-09 01:50:37.990869|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-03-09 01:50:37.992259|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 Binary: 64bit
2022-03-09 01:50:37.992300|INFO    |ServerLibPriv |   |Using hardware aes
2022-03-09 01:50:38.003868|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-03-09 01:50:38.003916|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-03-09 01:50:38.004817|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-03-09 01:50:38.067669|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-03-09 01:50:38.067931|INFO    |Accounting    |   |Licensing Information
2022-03-09 01:50:38.067958|INFO    |Accounting    |   |licensed to       : Anonymous
2022-03-09 01:50:38.067972|INFO    |Accounting    |   |type              : No License
2022-03-09 01:50:38.067991|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-03-09 01:50:38.068006|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-03-09 01:50:38.068018|INFO    |Accounting    |   |max virtualservers: 1
2022-03-09 01:50:38.068029|INFO    |Accounting    |   |max slots         : 32
2022-03-09 01:50:38.917489|INFO    |              |   |Puzzle precompute time: 825
2022-03-09 01:50:38.918537|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-03-09 01:50:38.951822|INFO    |Query         |   |Using a query thread pool size of 2
2022-03-09 01:50:39.017883|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-03-09 01:50:39.018150|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2022-03-09 01:50:39.018287|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2022-03-09 01:50:39.018949|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-03-09 01:50:40.396520|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-03-09 01:55:39.097504|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-09 01:55:39.097741|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-09 01:55:41.102739|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-09 01:55:41.102841|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-09 01:55:43.009966|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-09 01:55:43.010035|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-09 02:05:39.180569|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-09 02:05:39.180774|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-09 02:05:41.085538|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-09 02:05:41.085607|ERROR   |              |   |TS3ANetwork::Send failed error: 111
