2022-02-10 02:59:22.822899|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-02-10 02:59:22.823327|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 Binary: 64bit
2022-02-10 02:59:22.823368|INFO    |ServerLibPriv |   |Using hardware aes
2022-02-10 02:59:22.828684|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-02-10 02:59:22.828727|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-02-10 02:59:22.834296|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-02-10 02:59:22.899062|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-02-10 02:59:22.899493|INFO    |Accounting    |   |Licensing Information
2022-02-10 02:59:22.899524|INFO    |Accounting    |   |licensed to       : Anonymous
2022-02-10 02:59:22.899538|INFO    |Accounting    |   |type              : No License
2022-02-10 02:59:22.899555|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-02-10 02:59:22.899569|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-02-10 02:59:22.899581|INFO    |Accounting    |   |max virtualservers: 1
2022-02-10 02:59:22.899592|INFO    |Accounting    |   |max slots         : 32
2022-02-10 02:59:23.460464|INFO    |              |   |Puzzle precompute time: 540
2022-02-10 02:59:23.461375|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-02-10 02:59:23.494398|INFO    |Query         |   |Using a query thread pool size of 2
2022-02-10 02:59:23.550514|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-02-10 02:59:23.550741|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2022-02-10 02:59:23.550831|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2022-02-10 02:59:23.551393|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-02-10 03:04:23.507867|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-02-10 03:04:23.508110|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-02-10 03:04:25.012019|ERROR   |              |   |TS3ANetwork::Send failed error: 1
